elapsed_seconds,memory_mib
0,4
1,4
2,37
3,4
4,4
5,4
6,4
8,43
10,1343
11,16
12,1749
13,3806
15,6884
16,6884
17,6884
18,6884
19,6884
20,6884
21,6884
22,6884
23,6884
24,6884
25,6884
26,6884
28,6884
29,6884
30,6884
31,6884
32,6884
33,6884
34,6884
35,6884
36,6884
37,6884
38,6884
39,6884
40,6884
42,6884
43,6884
44,6884
45,5948
46,4735
47,1227
48,436
49,4
50,4
51,4
52,4
54,4
55,4
56,4
57,4
58,4
59,4
60,4
61,4
62,4
63,4
64,4
66,4
67,4
68,4
69,4
70,4
71,4
72,4
73,4
74,4
75,4
76,4
78,4
79,4
80,4
81,10
83,2418
84,16
86,112
88,4016
89,6884
90,6884
91,6884
92,6884
93,6884
94,6884
95,6884
96,6884
97,6884
98,6884
99,6884
101,6884
102,6884
103,6884
104,6884
105,6884
106,6884
107,6884
108,6884
109,6884
110,6884
111,6884
112,6884
114,6884
115,6884
116,6884
117,6884
118,6884
119,6884
120,6884
121,1769
122,4
124,4
125,4
126,4
127,4
128,4
129,4
130,4
131,4
132,4
133,4
134,4
136,4
137,4
138,4
139,4
140,4
141,4
142,4
143,4
144,4
145,4
146,4
148,4
149,4
150,4
151,4
152,4
153,4
155,4
156,2197
158,13
159,668
161,3668
162,6884
163,6884
164,6884
165,6884
166,6884
167,6884
168,6884
169,6884
170,6884
171,6884
172,6884
174,6884
175,6884
176,6884
177,6884
178,6884
179,6884
180,6884
181,6884
182,6884
183,6884
184,6884
185,6884
187,6884
188,6884
189,6884
190,6884
191,6884
192,6884
193,5165
194,872
195,7
196,4
197,4
199,4
200,4
201,4
202,4
203,4
204,4
205,4
206,4
207,4
208,4
209,4
211,4
212,4
213,4
214,4
215,4
216,4
217,4
218,4
219,4
220,4
221,4
223,4
224,4
225,4
226,4
227,4
229,460
231,4942
232,871
234,3209
235,6884
236,6884
237,6884
238,6884
239,6884
240,6884
241,6884
242,6884
243,6884
244,6884
245,6884
247,6884
248,6884
249,6884
250,6884
251,6884
252,6884
253,6884
254,6884
255,6884
256,6884
257,6884
258,6884
260,6884
261,6884
262,6884
263,6884
264,6884
265,5866
266,4306
267,445
268,4
269,4
271,4
272,4
273,4
274,4
275,4
276,4
277,4
278,4
279,4
280,4
281,4
283,4
284,4
285,4
286,4
287,4
288,4
289,4
290,4
291,4
292,4
293,4
295,4
296,4
297,4
298,4
299,4
300,4
301,23
303,638
305,16
306,1317
307,3650
309,6884
310,6884
311,6884
312,6884
313,6884
314,6884
315,6884
316,6884
317,6884
318,6884
319,6884
320,6884
322,6884
323,6884
324,6884
325,6884
326,6884
327,6884
328,6884
329,6884
330,6884
331,6884
332,6884
333,6884
335,6884
336,6884
337,6884
338,6884
339,6884
340,6884
341,6892
342,6908
343,6916
344,6916
345,6916
347,6916
348,6916
349,6916
350,10462
351,18428
352,26996
353,31302
354,33412
355,34240
357,35742
358,36652
359,37104
360,37674
361,38174
362,38544
364,39172
365,39584
366,40234
367,40378
368,40802
369,41050
371,41216
372,41632
373,42600
374,43780
375,44832
376,45372
377,45452
379,45474
380,45482
381,45644
382,45820
383,45874
384,45874
385,45938
387,45982
388,45982
389,46020
390,46052
391,46052
392,46060
394,46060
395,46416
396,46420
397,46456
398,46458
399,46462
400,46462
402,46462
403,46590
404,46590
405,46590
406,46654
407,46654
408,46654
409,46654
411,46654
412,46686
413,46700
414,46832
415,46888
416,46888
418,46888
419,46888
420,46888
421,46888
422,46888
423,46888
425,46952
426,46952
427,46962
428,46962
429,46962
430,46962
431,46962
432,46978
433,47042
435,47042
436,47042
437,47044
438,47044
439,47076
440,47088
442,47096
443,47098
444,47098
445,47114
446,47146
447,47146
448,47146
450,47404
451,47404
452,47404
453,47404
454,47404
455,47404
456,47404
457,47404
458,47408
460,47472
461,47584
462,48006
463,48068
464,48068
465,48068
467,48068
468,48068
469,48072
470,48200
471,48200
472,48264
474,48328
475,48456
476,48584
477,48584
478,48648
479,48648
481,48648
482,48664
483,48664
484,48664
485,48664
486,48664
487,48664
488,48680
489,48680
491,48684
492,48692
493,48758
494,48762
495,48762
496,48762
498,48762
499,48762
500,48762
501,48762
502,48826
503,48828
505,48836
506,48836
507,48844
508,48844
509,48844
511,48844
512,48844
513,48844
514,48844
515,48844
516,48844
517,48844
518,48844
519,48844
521,48844
522,48860
523,48860
524,48868
525,48868
526,48868
527,48868
529,48868
530,48868
531,48932
532,48932
533,48972
535,48972
536,48976
537,48976
538,48976
539,48976
540,48976
541,48976
542,49024
543,49024
544,49168
546,49168
547,49172
548,49268
549,49268
550,49268
551,49268
553,49268
554,49268
555,49268
556,49268
557,49268
558,49332
560,49332
561,49332
562,49332
563,49332
564,49332
565,49348
566,49352
567,49352
569,49384
570,49388
571,49388
572,49392
573,49392
574,49392
575,49654
577,49654
578,49658
579,49658
580,49658
581,49658
582,49658
584,49658
585,49658
586,49658
587,49658
588,49658
589,49658
591,49658
592,49658
593,49658
594,49658
595,49658
596,49658
597,49658
598,49658
599,49658
601,49658
602,49658
603,49658
604,49658
605,49658
607,49674
608,49674
609,49674
610,49674
611,49674
612,49698
614,49714
615,49714
616,49714
617,47125
618,30908
619,27961
620,16686
621,463
622,13
624,4
625,4
626,4
627,4
628,4
629,4
630,4
631,4
632,4
633,4
634,4
636,4
637,4
638,4
639,4
640,4
641,4
642,4
643,4
644,4
645,4
646,4
647,4
649,4
650,4
651,4
652,4
653,4
654,4
655,4
657,98
659,4955
660,4
661,74
663,6550
664,6884
665,6884
666,6884
667,6884
668,6884
669,6884
670,6884
671,6884
673,6884
674,6884
675,6884
676,6884
677,6884
678,6884
679,6884
680,6884
681,6884
682,6884
683,6884
684,6884
686,6884
687,6884
688,6884
689,6884
690,6884
691,6884
692,6884
693,6884
694,6884
695,6884
696,6884
697,6884
699,6912
700,6916
701,6916
702,6916
703,6916
704,6916
705,6916
706,6916
707,6916
708,19240
710,28106
711,31598
712,33698
713,34780
714,35714
715,37116
716,38004
718,38562
719,38848
720,38980
721,39502
722,40444
723,40930
725,41364
726,41440
727,41506
728,41540
729,42080
731,43752
732,45036
733,45856
734,46264
735,46264
736,46264
737,46264
738,46272
739,46344
741,46374
742,46406
743,46486
744,46534
745,46582
747,46680
748,46680
749,46680
750,46816
751,46816
752,46820
754,46856
755,46856
756,46856
757,46856
758,46856
759,46856
760,46856
761,46864
763,46864
764,46966
765,46966
766,46968
767,46980
768,46984
770,46984
771,46992
772,46992
773,46992
774,47016
775,47016
776,47032
778,47032
779,47032
780,47032
781,47032
782,47032
783,47064
784,47072
786,47088
787,47096
788,47160
789,47160
790,47162
791,47226
792,47226
793,47226
795,47236
796,47236
797,47260
798,47260
799,47262
800,47262
802,47262
803,47262
804,47266
805,47266
806,47266
807,47266
808,47266
810,47266
811,47266
812,47266
813,47266
814,47266
815,47266
816,47266
817,47274
819,47338
820,47378
821,47458
822,47466
823,47466
824,47466
825,47482
827,47482
828,47482
829,47482
830,47546
831,47610
832,47618
834,47746
835,47874
836,47874
837,47890
838,47890
839,47890
840,47890
841,47890
843,47892
844,47892
845,47896
846,47896
847,47912
848,47920
849,47920
851,47992
852,48004
853,48004
854,48004
855,48004
856,48004
858,48004
859,48004
860,48004
861,48004
862,48004
863,48004
865,48004
866,48004
867,48028
868,48028
869,48100
870,48100
871,48100
873,48100
874,48100
875,48100
876,48100
877,48100
878,48104
879,48104
880,48104
882,48104
883,48104
884,48104
885,48104
886,48120
887,48120
889,48128
890,48128
891,48136
892,48144
893,48148
894,48220
895,48220
897,48220
898,48220
899,48342
900,48342
901,48342
902,48392
903,48400
904,48432
906,48878
907,48878
908,49138
909,49138
910,49138
911,49146
913,49146
914,49146
915,49146
916,49146
917,49146
918,49146
920,49146
921,49146
922,49146
923,49210
924,49214
925,49472
926,49472
927,49476
928,49476
930,49476
931,49508
932,49508
933,49508
934,49508
935,49508
936,49508
938,49508
939,49508
940,49508
941,49572
942,49584
943,49584
945,49584
946,49904
947,49904
948,49936
949,49936
950,49936
951,49936
952,49936
954,49936
955,49936
956,49936
957,49936
958,49936
959,49936
960,49936
962,49936
963,50066
964,50066
965,50082
966,50082
967,50098
969,50098
970,50106
971,50106
972,50106
973,47044
974,40941
975,32251
976,31486
977,25188
979,25174
980,12934
981,16
982,13
983,4
984,4
985,4
986,4
987,4
988,4
989,4
991,4
992,4
993,4
994,4
995,4
996,4
997,4
998,4
999,4
1000,4
1001,4
1003,4
1004,4
1005,4
1006,4
1007,4
1008,4
1009,4
1010,4
1011,4
1012,4
1013,4
1015,4
1016,45
1018,4966
1019,4
1021,1300
1022,5416
1023,6884
1024,6884
1025,6884
1026,6884
1027,6884
1028,6884
1029,6884
1031,6884
1032,6884
1033,6884
1034,6884
1035,6884
1036,6884
1037,6884
1038,6884
1039,6884
1040,6884
1041,6884
1042,6884
1044,6884
1045,6884
1046,6884
1047,6884
1048,6884
1049,6884
1050,6884
1051,6884
1052,6884
1053,6884
1054,6884
1055,6884
1057,6902
1058,6914
1059,6916
1060,6916
1061,6916
1062,6916
1063,6916
1064,6916
1065,11318
1066,24960
1068,32662
1069,35354
1070,36630
1071,37340
1072,37662
1073,38316
1074,39122
1076,39274
1077,39316
1078,39700
1079,40534
1080,41940
1081,42582
1083,42804
1084,42836
1085,42836
1086,43462
1087,43854
1088,45074
1090,46564
1091,47376
1092,47504
1093,47510
1094,47510
1095,47526
1096,47598
1098,47694
1099,47766
1100,47766
1101,47822
1102,47918
1104,47950
1105,47952
1106,47952
1107,47952
1108,47952
1109,48016
1110,48016
1112,48016
1113,48018
1114,48018
1115,48082
1116,48082
1117,48082
1118,48086
1120,48088
1121,48156
1122,48156
1123,48156
1124,48156
1125,48156
1126,48196
1128,48196
1129,48196
1130,48228
1131,48228
1132,48228
1133,48228
1135,48228
1136,48228
1137,48240
1138,48240
1139,48240
1140,48240
1142,48240
1143,48240
1144,48240
1145,48256
1146,48256
1147,48258
1148,48258
1149,48260
1151,48260
1152,48276
1153,48356
1154,48358
1155,48358
1156,48358
1158,48360
1159,48360
1160,48364
1161,48364
1162,48364
1163,48364
1165,48364
1166,48364
1167,48366
1168,48366
1169,48374
1170,48374
1171,48374
1172,48374
1174,48374
1175,48454
