elapsed_seconds,memory_mib
0,4
1,4
2,4
3,4
4,4
6,4
7,366
9,1386
10,7
12,1828
13,5590
14,5590
15,5590
16,6036
17,6878
18,6878
19,6878
21,6878
22,6878
23,6878
24,6878
25,6878
26,6878
27,6878
28,6878
29,6878
30,6878
31,6878
33,6878
34,6878
35,6878
36,6878
37,6878
38,6878
39,6878
40,6878
41,6878
42,6878
43,6878
45,5084
46,1726
47,1296
48,1296
49,867
50,4
51,4
52,4
53,4
54,4
55,4
57,4
58,4
59,4
60,4
61,4
62,4
63,4
64,4
65,4
66,4
67,4
69,4
70,4
71,4
72,4
73,4
74,4
75,4
76,4
77,4
78,4
79,4
80,4
82,4
83,1002
85,4939
86,865
88,3171
89,6878
90,6878
92,6878
93,6878
94,6878
95,6878
96,6878
97,6878
98,6878
99,6878
100,6878
101,6878
102,6878
103,6878
105,6878
106,6878
107,6878
108,6878
109,6878
110,6878
111,6878
112,6878
113,6878
114,6878
115,6878
117,6878
118,6878
119,6878
120,4731
121,4302
122,7
123,4
124,4
125,4
126,4
127,4
129,4
130,4
131,4
132,4
133,4
134,4
135,4
136,4
137,4
138,4
139,4
141,4
142,4
143,4
144,4
145,4
146,4
147,4
148,4
149,4
150,4
151,4
153,4
154,4
156,76
157,5719
158,4
160,144
161,4838
163,6878
164,6878
165,6878
166,6878
167,6878
168,6878
169,6878
170,6878
171,6878
172,6878
173,6878
174,6878
176,6878
177,6878
178,6878
179,6878
180,6878
181,6878
182,6878
183,6878
184,6878
185,6878
186,6878
188,6878
189,6878
190,6878
191,6878
192,6878
193,6878
194,4302
195,7
196,4
197,4
198,4
199,4
201,4
202,4
203,4
204,4
205,4
206,4
207,4
208,4
209,4
210,4
211,4
213,4
214,4
215,4
216,4
217,4
218,4
219,4
220,4
221,4
222,4
223,4
225,4
226,4
227,4
228,23
230,3175
232,9
233,1791
235,4044
236,6878
237,6878
238,6878
239,6878
240,6878
241,6878
242,6878
243,6878
244,6878
245,6878
247,6878
248,6878
249,6878
250,6878
251,6878
252,6878
253,6878
254,6878
255,6878
256,6878
257,6878
258,6878
260,6878
261,6878
262,6878
263,6878
264,6878
265,6878
266,5590
267,3872
269,438
270,4
271,4
272,4
273,4
274,4
275,4
276,4
277,4
279,4
280,4
281,4
282,4
283,4
284,4
285,4
286,4
287,4
288,4
289,4
290,4
292,4
293,4
294,4
295,4
296,4
297,4
298,4
299,4
300,4
301,4
303,4
305,772
306,7
307,4
309,7
311,3324
312,6878
313,6878
314,6878
315,6878
316,6878
317,6878
318,6878
319,6878
320,6878
321,6878
323,6878
324,6878
325,6878
326,6878
327,6878
328,6878
329,6878
330,6878
331,6878
332,6878
333,6878
335,6878
336,6878
337,6878
338,6878
339,6878
340,6878
341,6878
342,6880
343,11772
344,12160
345,12160
347,12160
348,12160
349,12160
350,12160
351,12160
352,45470
354,38595
355,20246
356,20246
357,20246
358,20246
359,20246
360,20246
361,20246
362,20246
363,20248
364,20248
365,20248
367,20248
368,20248
369,20248
370,20248
371,20248
372,7
373,4
374,4
375,4
376,4
377,4
379,4
380,4
381,4
382,4
383,4
384,4
385,4
386,4
387,4
388,4
389,4
391,4
