elapsed_seconds,memory_mib
0,4
1,4
2,362
3,4
4,4
5,4
6,4
7,4
9,395
11,3855
12,1297
14,2783
15,6884
16,6884
17,6884
18,6884
19,6884
20,6884
21,6884
23,6884
24,6884
25,6884
26,6884
27,6884
28,6884
29,6884
30,6884
31,6884
32,6884
33,6884
34,6884
36,6884
37,6884
38,6884
39,6884
40,6884
41,6884
42,6884
43,6884
44,6884
45,6884
46,4737
48,2514
49,4
50,4
51,4
52,4
53,4
54,4
55,4
56,4
57,4
58,4
60,4
61,4
62,4
63,4
64,4
65,4
66,4
67,4
68,4
69,4
70,4
71,4
73,4
74,4
75,4
76,4
77,4
78,4
79,4
80,7
82,959
84,18
85,2191
87,6884
88,6884
89,6884
90,6884
91,6884
92,6884
93,6884
94,6884
95,6884
96,6884
97,6884
98,6884
100,6884
101,6884
102,6884
103,6884
104,6884
105,6884
106,6884
107,6884
108,6884
109,6884
110,6884
111,6884
113,6884
114,6884
115,6884
116,6884
117,6884
118,5169
119,4307
120,13
121,4
122,4
124,4
125,4
126,4
127,4
128,4
129,4
130,4
131,4
132,4
133,4
134,4
135,4
137,4
138,4
139,4
140,4
141,4
142,4
143,4
144,4
145,4
146,4
147,4
149,4
150,4
151,4
152,4
153,4
155,1448
157,16
158,1448
160,5682
161,6884
162,6884
163,6884
164,6884
165,6884
166,6884
167,6884
168,6884
169,6884
170,6884
171,6884
173,6884
174,6884
175,6884
176,6884
177,6884
178,6884
179,6884
180,6884
181,6884
182,6884
183,6884
184,6884
186,6884
187,6884
188,6884
189,6884
190,6884
191,5595
192,4736
193,447
194,4
195,4
196,4
198,4
199,4
200,4
201,4
202,4
203,4
204,4
205,4
206,4
207,4
208,4
210,4
211,4
212,4
213,4
214,4
215,4
216,4
217,4
218,4
219,4
220,4
222,4
223,4
224,4
225,4
226,4
228,79
229,5302
230,4
232,1365
233,4950
234,6884
235,6884
236,6884
237,6884
239,6884
240,6884
241,6884
242,6884
243,6884
244,6884
245,6884
246,6884
247,6884
248,6884
249,6884
250,6884
252,6884
253,6884
254,6884
255,6884
256,6884
257,6884
258,6884
259,6884
260,6884
261,6884
262,6884
264,6884
265,6454
266,5095
267,16
268,4
269,4
270,4
271,4
272,4
273,4
274,4
276,4
277,4
278,4
279,4
280,4
281,4
282,4
283,4
284,4
285,4
286,4
288,4
289,4
290,4
291,4
292,4
293,4
294,4
295,4
296,4
297,4
298,4
300,4
301,516
303,4944
304,906
306,3660
307,6884
308,6884
309,6884
310,6884
311,6884
312,6884
313,6884
314,6884
316,6884
317,6884
318,6884
319,6884
320,6884
321,6884
322,6884
323,6884
324,6884
325,6884
326,6884
327,6884
329,6884
330,6884
331,6884
332,6884
333,6884
334,6884
335,6884
336,7830
337,15028
338,21154
340,23324
341,22548
342,22548
343,22548
344,22548
345,74498
346,108692
347,107284
349,108148
350,106644
351,107316
352,106996
353,106420
354,106548
355,106708
356,106676
358,106996
359,109012
360,106612
361,106708
362,106324
363,106580
364,106132
365,106292
367,107156
368,106644
369,107924
370,105780
371,107444
372,107732
373,106260
375,107124
376,106260
377,106868
378,106644
379,105812
380,106644
381,109812
382,107124
384,107284
385,107380
386,106484
387,106292
388,106292
389,106772
390,106324
391,106260
393,108756
394,107860
395,111220
396,108564
397,105940
398,105780
399,106516
401,107508
402,106164
403,106548
404,106900
405,110004
406,106260
407,105876
408,107732
410,106324
411,106804
412,106676
413,108340
414,106772
415,107348
416,108084
417,106996
419,107028
420,105908
421,106388
422,106260
423,106260
424,106196
425,107188
426,106548
428,106804
429,106676
430,107252
431,109204
432,106198
433,84673
435,48149
436,15181
437,14
438,4
439,4
440,4
441,4
442,4
443,4
444,4
446,4
447,4
448,4
449,4
450,4
451,4
452,4
453,4
454,4
455,4
456,4
458,4
459,4
460,4
461,4
462,4
463,4
464,4
465,4
466,4
467,4
468,4
470,4
472,2017
474,16
475,13
477,3606
478,6884
479,6884
480,6884
481,6884
482,6884
483,6884
484,6884
485,6884
486,6884
488,6884
489,6884
490,6884
491,6884
492,6884
493,6884
494,6884
495,6884
496,6884
497,6884
498,6884
499,6884
501,6884
502,6884
503,6884
504,6884
505,6884
506,6884
507,6884
508,7220
509,9816
510,41392
512,22550
513,22550
514,22550
515,22550
516,22550
517,28422
518,103776
519,103936
520,104960
522,103616
523,106944
524,103296
525,103776
526,104832
527,103936
528,103648
530,106784
531,105984
532,103872
533,104384
534,103520
535,103296
536,104736
538,104736
539,103872
540,103840
541,107488
542,104736
543,104480
544,104256
546,103840
547,103936
548,104160
549,104160
550,105440
551,104672
552,103744
553,104224
555,105664
556,104576
557,104320
558,104608
559,103904
560,104608
561,103968
562,103712
564,104096
565,103872
566,104928
567,106144
568,104256
569,104160
570,103360
572,104352
573,103904
574,103872
575,103648
576,103680
577,104096
578,103328
579,104864
581,105920
582,103328
583,104896
584,103648
585,104544
586,103808
587,104640
588,104320
590,104672
591,104864
592,105824
593,104160
594,103328
595,104288
596,103584
597,104928
598,105184
600,104288
601,104672
602,106912
603,105078
604,98274
605,74773
606,50738
608,21850
609,13860
610,7255
611,4
612,4
613,4
614,4
615,4
616,4
617,4
618,4
620,4
621,4
622,4
623,4
624,4
625,4
626,4
627,4
628,4
629,4
631,4
632,4
633,4
634,4
635,4
636,4
637,4
638,4
639,4
640,4
641,4
642,4
644,102
646,1118
647,16
648,884
650,2046
651,6884
652,6884
653,6884
654,6884
655,6884
657,6884
658,6884
659,6884
660,6884
661,6884
662,6884
663,6884
664,6884
665,6884
666,6884
667,6884
669,6884
670,6884
671,6884
672,6884
673,6884
674,6884
675,6884
676,6884
677,6884
678,6884
679,7052
680,8206
682,11608
683,35066
684,22538
685,22538
686,22538
687,22538
688,36692
689,64766
691,104544
692,104512
693,104576
694,102656
695,102112
696,102432
697,103296
699,102240
700,103264
701,103072
702,103168
703,103488
704,103232
705,102624
706,102432
708,103584
709,102944
710,104096
711,103648
712,103712
713,102912
714,103328
716,103520
717,104256
718,105248
719,102624
720,103904
721,102880
722,102752
723,103104
725,103200
726,102336
727,106240
728,102784
729,103104
730,102976
731,102048
732,102880
734,102464
735,103680
736,104832
737,103520
738,104032
739,102816
740,102752
742,102560
743,102528
744,102176
745,103488
746,102784
747,103840
748,104576
750,103072
751,102080
752,102944
753,102112
754,103584
755,103584
756,103840
757,103552
758,102176
760,102912
761,104576
762,103968
763,103648
764,102976
765,103040
766,103072
768,104480
769,102240
770,103520
771,103072
772,103008
773,103040
774,102944
775,102432
777,102450
778,78278
779,25716
780,4847
781,4
782,4
783,4
784,4
785,4
786,4
788,4
789,4
790,4
791,4
792,4
793,4
794,4
795,4
796,4
797,4
799,4
800,4
801,4
802,4
803,4
804,4
805,4
806,4
807,4
808,4
809,4
810,4
812,4
813,10
815,1704
816,372
818,13
819,2384
820,6884
822,6884
823,6884
824,6884
825,6884
826,6884
827,6884
828,6884
829,6884
830,6884
831,6884
832,6884
833,6884
835,6884
836,6884
837,6884
838,6884
839,6884
840,6884
841,6884
842,6884
843,6884
844,6884
845,6884
846,6884
848,6884
849,6884
850,6884
851,6892
852,9182
853,20456
854,22558
855,22558
856,22558
858,22558
859,22558
860,22558
861,95658
862,104914
863,103730
864,104370
865,104690
867,104594
868,104690
869,104242
870,105202
871,106962
872,105042
873,104146
874,105522
876,104370
877,104754
878,104754
879,104786
880,104466
881,104562
882,106098
884,107538
885,104658
886,103730
887,104178
888,105074
889,103730
890,105362
891,105042
893,106322
894,105298
895,104626
896,103826
897,104978
898,104722
899,104466
900,104946
902,104242
903,106194
904,104722
905,106034
906,105874
907,105266
908,104114
910,104018
911,104722
912,104082
913,104722
914,104946
915,106962
916,106706
917,103826
919,104594
920,105330
921,104690
922,105490
923,103762
924,105010
925,105938
927,109778
928,105202
929,104370
930,104274
931,104498
932,104402
933,103858
934,104946
936,104658
937,105746
938,104562
939,103954
940,103826
941,104306
942,104242
943,104050
945,104594
946,105458
947,105266
948,106066
949,91418
950,53113
951,12350
952,9
