elapsed_seconds,memory_mib
0,4
1,4
2,4
3,4
4,4
5,4
6,4
8,834
10,2253
11,7
12,541
14,3650
15,6878
16,6878
17,6878
18,6878
19,6878
20,6878
21,6878
22,6878
24,6878
25,6878
26,6878
27,6878
28,6878
29,6878
30,6878
31,6878
32,6878
33,6878
34,6878
36,6878
37,6878
38,6878
39,6878
40,6878
41,6878
42,6878
43,6878
44,6878
45,6878
46,6019
48,436
49,4
50,4
51,4
52,4
53,4
54,4
55,4
56,4
57,4
58,4
60,4
61,4
62,4
63,4
64,4
65,4
66,4
67,4
68,4
69,4
70,4
71,4
73,4
74,4
75,4
76,4
77,4
78,4
79,4
80,4
82,1301
84,4264
85,510
87,3179
88,6878
89,6878
90,6878
91,6878
92,6878
93,6878
94,6878
95,6878
97,6878
98,6878
99,6878
100,6878
101,6878
102,6878
103,6878
104,6878
105,6878
106,6878
107,6878
108,6878
110,6878
111,6878
112,6878
113,6878
114,6878
115,6878
116,6878
117,6878
118,6376
119,4298
120,2074
122,4
123,4
124,4
125,4
126,4
127,4
128,4
129,4
130,4
131,4
132,4
134,4
135,4
136,4
137,4
138,4
139,4
140,4
141,4
142,4
143,4
144,4
146,4
147,4
148,4
149,4
150,4
151,4
152,4
153,4
155,7
157,2464
158,7
159,538
161,4530
162,6878
163,6878
164,6878
165,6878
166,6878
167,6878
168,6878
169,6878
171,6878
172,6878
173,6878
174,6878
175,6878
176,6878
177,6878
178,6878
179,6878
180,6878
181,6878
183,6878
184,6878
185,6878
186,6878
187,6878
188,6878
189,6878
190,6878
191,6878
192,6878
193,4302
194,438
196,4
197,4
198,4
199,4
200,4
201,4
202,4
203,4
204,4
205,4
206,4
208,4
209,4
210,4
211,4
212,4
213,4
214,4
215,4
216,4
217,4
218,4
220,4
221,4
222,4
223,4
224,4
225,4
226,4
227,4
229,149
231,4948
232,4
233,2211
234,6878
235,6878
236,6878
238,6878
239,6878
240,6878
241,6878
242,6878
243,6878
244,6878
245,6878
246,6878
247,6878
248,6878
250,6878
251,6878
252,6878
253,6878
254,6878
255,6878
256,6878
257,6878
258,6878
259,6878
260,6878
262,6878
263,6878
264,6878
265,6878
266,6019
267,2584
268,7
269,4
270,4
271,4
272,4
274,4
275,4
276,4
277,4
278,4
279,4
280,4
281,4
282,4
283,4
284,4
286,4
287,4
288,4
289,4
290,4
291,4
292,4
293,4
294,4
295,4
296,4
298,4
299,4
300,4
301,4
303,263
304,5641
306,4
307,1724
308,5678
309,6878
310,6878
312,6878
313,6878
314,6878
315,6878
316,6878
317,6878
318,6878
319,6878
320,6878
321,6878
322,6878
323,6878
325,6878
326,6878
327,6878
328,6878
329,6878
330,6878
331,6878
332,6878
333,6878
334,6878
335,6878
336,6878
338,7164
339,8322
340,12160
341,12160
342,12160
343,12160
344,12160
345,12160
346,14000
348,45442
349,41028
350,37380
351,37478
352,38112
353,38432
354,38434
355,38576
357,38652
358,38660
359,38676
360,39138
361,39424
362,39796
363,39812
364,40150
365,40182
366,40246
368,40262
369,40262
370,40262
371,40278
372,40280
373,40424
374,40424
375,40456
376,33372
377,17466
378,7
379,4
381,4
382,4
383,4
384,4
385,4
386,4
387,4
388,4
389,4
390,4
392,4
393,4
394,4
395,4
396,4
397,4
398,4
399,4
400,4
401,4
402,4
404,4
405,4
406,4
407,4
408,4
409,4
410,4
411,4
413,284
415,1073
416,7
418,317
419,6878
420,6878
422,6878
423,6878
424,6878
425,6878
426,6878
427,6878
428,6878
429,6878
430,6878
431,6878
432,6878
434,6878
435,6878
436,6878
437,6878
438,6878
439,6878
440,6878
441,6878
442,6878
443,6878
444,6878
445,6878
447,6878
448,6878
449,6878
450,7308
451,12160
452,12160
453,12160
454,12160
455,12160
456,12160
458,12160
459,18250
460,40412
461,22582
462,15628
463,16174
464,16186
466,16210
467,16274
468,16274
469,16362
470,16710
471,16712
472,17152
473,17160
474,17160
475,17160
476,10661
478,5723
479,4
480,4
481,4
482,4
483,4
484,4
485,4
486,4
487,4
489,4
490,4
491,4
492,4
493,4
494,4
495,4
496,4
497,4
498,4
499,4
500,4
502,4
503,4
504,4
505,4
506,4
507,4
508,4
509,4
510,4
512,107
514,6042
515,4
516,4
518,1328
519,6878
521,6878
522,6878
523,6878
524,6878
525,6878
526,6878
527,6878
528,6878
529,6878
530,6878
531,6878
532,6878
534,6878
535,6878
536,6878
537,6878
538,6878
539,6878
540,6878
541,6878
542,6878
543,6878
544,6878
546,6878
547,6878
548,6878
549,6878
550,6880
551,11832
552,12160
553,12160
554,12160
555,12160
557,12160
558,12160
559,20370
560,42089
561,27535
562,28637
563,28943
564,29027
566,29127
567,29497
568,29515
569,29525
570,29609
571,29609
572,29609
573,29653
574,29965
575,29965
576,29981
578,29981
579,29981
580,29981
581,30277
582,30279
583,24022
584,18232
585,6728
586,7
587,4
589,4
590,4
591,4
592,4
593,4
594,4
595,4
596,4
597,4
598,4
599,4
600,4
602,4
603,4
604,4
605,4
606,4
607,4
608,4
609,4
610,4
611,4
612,4
614,4
615,4
616,4
617,4
618,4
619,4
621,199
623,4221
624,73
626,3173
627,6878
628,6878
630,6878
631,6878
632,6878
633,6878
634,6878
635,6878
636,6878
637,6878
638,6878
639,6878
640,6878
641,6878
643,6878
644,6878
645,6878
646,6878
647,6878
648,6878
649,6878
650,6878
651,6878
652,6878
653,6878
654,6878
656,6878
657,8022
658,10880
659,12160
660,12160
661,12160
662,12160
663,12160
664,26370
666,45060
667,44830
668,37958
669,39212
670,40058
671,40074
672,40078
673,40132
674,40200
676,40234
677,40314
678,40330
679,40330
680,40394
681,40394
682,40394
683,40440
684,40442
685,40442
686,40442
688,40442
689,40474
690,40476
691,40476
692,40492
693,40492
694,32425
695,18953
696,7
