elapsed_seconds,memory_mib
0,4
1,4
2,32
3,4
4,4
5,4
6,4
7,4
9,4
11,1106
12,16
13,4
16,285
17,6884
18,6884
19,6884
20,6884
21,6884
22,6884
23,6884
24,6884
25,6884
27,6884
28,6884
29,6884
30,6884
31,6884
32,6884
33,6884
34,6884
35,6884
36,6884
37,6884
38,6884
40,6884
41,6884
42,6884
43,6884
44,6884
45,6884
46,6884
47,6884
48,6884
49,6884
50,6884
52,1516
53,4
54,4
55,4
56,4
57,4
58,4
59,4
61,4
62,4
63,4
64,4
65,4
66,4
67,4
68,4
69,4
70,4
71,4
73,4
74,4
75,4
76,4
77,4
78,4
79,4
80,4
81,4
82,4
83,4
85,4
86,97
88,5293
89,4
91,2622
92,6884
93,6884
94,6884
95,6884
96,6884
97,6884
98,6884
99,6884
100,6884
102,6884
103,6884
104,6884
105,6884
106,6884
107,6884
108,6884
109,6884
110,6884
111,6884
112,6884
113,6884
115,6884
116,6884
117,6884
118,6884
119,6884
120,6884
121,6884
122,6884
123,6884
124,3877
125,375
127,4
128,4
129,4
130,4
131,4
132,4
133,4
134,4
135,4
136,4
137,4
139,4
140,4
141,4
142,4
143,4
144,4
145,4
146,4
147,4
148,4
149,4
150,4
152,4
153,4
154,4
155,4
156,4
157,4
158,4
161,622
162,16
163,1748
165,5414
166,6884
167,6884
168,6884
169,6884
170,6884
171,6884
172,6884
173,6884
175,6884
176,6884
177,6884
178,6884
179,6884
180,6884
181,6884
182,6884
183,6884
184,6884
185,6884
186,6884
188,6884
189,6884
190,6884
191,6884
192,6884
193,6884
194,6884
195,6884
196,5594
197,4736
198,874
200,4
201,4
202,4
203,4
204,4
205,4
206,4
207,4
208,4
209,4
210,4
212,4
213,4
214,4
215,4
216,4
217,4
218,4
219,4
220,4
221,4
222,4
223,4
225,4
226,4
227,4
228,4
229,4
230,4
231,4
233,45
235,4975
236,4
237,1423
239,6884
240,6884
241,6884
242,6884
243,6884
244,6884
245,6884
246,6884
247,6884
248,6884
249,6884
250,6884
252,6884
253,6884
254,6884
255,6884
256,6884
257,6884
258,6884
259,6884
260,6884
261,6884
262,6884
263,6884
264,6884
266,6884
267,6884
268,6884
269,6884
270,6802
271,5512
272,868
273,4
274,4
275,4
277,4
278,4
279,4
280,4
281,4
282,4
283,4
284,4
285,4
286,4
287,4
289,4
290,4
291,4
292,4
293,4
294,4
295,4
296,4
297,4
298,4
299,4
301,4
302,4
303,4
304,4
305,4
306,29
308,5679
309,4
311,1350
312,4874
313,6884
314,6884
315,6884
316,6884
317,6884
318,6884
320,6884
321,6884
322,6884
323,6884
324,6884
325,6884
326,6884
327,6884
328,6884
329,6884
330,6884
332,6884
333,6884
334,6884
335,6884
336,6884
337,6884
338,6884
339,6884
340,6884
341,6890
342,7970
343,12852
345,19462
346,22928
347,22544
348,22544
349,22544
350,43392
351,61374
352,107738
354,108058
355,108122
356,107290
357,109562
358,108858
359,107546
360,109626
361,107450
363,108442
364,107898
365,108250
366,108730
367,107706
368,109242
369,107802
370,109146
372,108218
373,108954
374,108186
375,107322
376,107930
377,107802
378,107770
379,108730
380,108602
382,109210
383,109274
384,108410
385,107290
386,107802
387,108698
388,108282
390,107578
391,109274
392,108154
393,109146
394,109306
395,108378
396,107290
397,108122
399,107418
400,107770
401,107418
402,108122
403,108538
404,108378
405,107290
407,109626
408,108858
409,108538
410,107322
411,108250
412,108058
413,108378
414,107418
415,107994
417,108186
418,107514
419,107898
420,108986
421,108378
422,107674
423,107802
424,107610
426,108250
427,108858
428,107834
429,109242
430,108666
431,108570
432,110618
433,108090
435,109178
436,108090
437,107546
438,104558
439,88180
440,81018
442,28828
443,430
444,4
445,4
446,4
447,4
448,4
449,4
450,4
451,4
453,4
454,4
455,4
456,4
457,4
458,4
459,4
460,4
461,4
462,4
463,4
464,4
466,4
467,4
468,4
469,4
470,4
471,4
472,4
473,4
474,4
476,7
478,2355
479,16
481,7
483,3066
484,6884
485,6884
486,6884
487,6884
488,6884
489,6884
490,6884
491,6884
492,6884
493,6884
495,6884
496,6884
497,6884
498,6884
499,6884
500,6884
501,6884
502,6884
503,6884
504,6884
505,6884
506,6884
508,6884
509,6884
510,6884
511,6884
512,6884
513,6884
514,6884
515,8552
516,22718
517,22426
519,22542
520,22542
521,22542
522,22542
523,22542
524,75388
525,102902
526,105654
528,104246
529,102998
530,102902
531,104790
532,102870
533,104086
534,103094
535,103222
537,102582
538,103062
539,105110
540,103190
541,103446
542,103094
543,103414
545,103894
546,104438
547,103190
548,102806
549,103126
550,103254
551,103350
552,103926
554,103030
555,103414
556,103190
557,103382
558,102550
559,102486
560,106070
562,103158
563,104342
564,102358
565,103574
566,103062
567,103926
568,102358
569,102806
571,102774
572,104598
573,104566
574,105334
575,102358
576,103638
577,103382
578,103766
580,103062
581,103126
582,105846
583,103958
584,103766
585,103606
586,105718
587,103798
589,103222
590,103254
591,103286
592,102358
593,103478
594,102870
595,104214
596,103030
598,102838
599,103158
600,104758
601,104086
602,102358
603,102742
604,102870
605,103094
607,102358
608,103030
609,103478
610,104374
611,99266
612,75260
613,48789
614,20291
615,6965
617,6448
618,4
619,4
620,4
621,4
622,4
623,4
624,4
625,4
626,4
627,4
629,4
630,4
631,4
632,4
633,4
634,4
635,4
636,4
637,4
638,4
639,4
641,4
642,4
643,4
644,4
645,4
646,4
647,4
648,4
649,4
651,96
652,5663
654,4
655,4
657,313
658,6884
659,6884
660,6884
661,6884
662,6884
663,6884
664,6884
666,6884
667,6884
668,6884
669,6884
670,6884
671,6884
672,6884
673,6884
674,6884
675,6884
676,6884
677,6884
679,6884
680,6884
681,6884
682,6884
683,6884
684,6884
685,6884
686,6884
687,6884
688,6886
689,9164
691,27360
692,22516
693,22544
694,22544
695,22544
696,22544
697,22544
698,42852
700,106998
701,106966
702,108822
703,108662
704,107222
705,107574
706,106454
708,107766
709,107702
710,107126
711,108054
712,109206
713,107222
714,106614
716,106838
717,106454
718,107254
719,108054
720,108758
721,107574
722,108982
723,107382
725,106550
726,107350
727,108214
728,107254
729,106998
730,107702
731,107574
732,108726
734,106678
735,108246
736,107414
737,108918
738,106998
739,107414
740,106454
741,107286
743,107414
744,107094
745,108598
746,110294
747,107638
748,106614
749,107606
751,108278
752,106582
753,109430
754,106646
755,108694
756,107414
757,109238
759,106934
760,107318
761,106582
762,107670
763,108118
764,107926
765,107318
766,108182
768,109398
769,106998
770,107318
771,107062
772,106742
773,107798
774,106742
775,107350
777,108182
778,109462
779,107574
780,106486
781,107318
782,108438
783,107446
784,109046
786,106966
787,102896
788,77598
789,20249
790,6186
791,7
792,4
794,4
795,4
796,4
797,4
798,4
799,4
800,4
801,4
802,4
803,4
804,4
806,4
807,4
808,4
809,4
810,4
811,4
812,4
813,4
814,4
815,4
816,4
818,4
819,4
820,4
821,4
822,4
823,4
824,4
826,98
827,5280
829,4
830,115
831,6884
832,6884
833,6884
835,6884
836,6884
837,6884
838,6884
839,6884
840,6884
841,6884
842,6884
843,6884
844,6884
845,6884
847,6884
848,6884
849,6884
850,6884
851,6884
852,6884
853,6884
854,6884
855,6884
856,6884
857,6884
858,6884
860,6884
861,6884
862,6884
863,7670
864,14784
865,23748
866,22542
867,22542
868,22542
869,22542
871,22542
872,61944
873,107400
874,106056
875,105864
876,106696
877,106920
878,106248
880,106312
881,105864
882,106600
883,106376
884,106216
885,109576
886,106920
887,107112
889,105864
890,106856
891,106536
892,105896
893,107528
894,109768
895,108232
897,106152
898,105928
899,108328
900,106536
901,108040
902,107816
903,107592
905,106248
906,106696
907,107048
908,105864
909,106568
910,106248
911,106056
912,107528
913,109352
915,107560
916,109288
917,106312
918,106184
919,106440
920,107048
921,106152
923,106440
924,106856
925,107016
926,105992
927,106856
928,107080
929,108392
930,105896
932,106440
933,106120
934,106504
935,105864
936,106088
937,106504
938,107848
940,108296
941,107016
942,105896
943,105928
944,106824
945,105896
946,108264
947,107400
949,109128
950,107624
951,107592
952,106792
953,106440
954,107016
955,106664
956,106856
958,101038
959,96782
960,85638
961,75214
962,24601
963,7391
964,9
965,4
