elapsed_seconds,memory_mib
0,4
1,4
2,37
3,4
4,4
6,4
7,4
8,4
10,1031
12,1061
13,1431
14,4850
15,6884
16,6884
17,6884
19,6884
20,6884
21,6884
22,6884
23,6884
24,6884
25,6884
26,6884
27,6884
28,6884
29,6884
30,6884
32,6884
33,6884
34,6884
35,6884
36,6884
37,6884
38,6884
39,6884
40,6884
41,6884
42,6884
43,6884
45,6884
46,6454
47,4735
48,1656
49,4
50,4
51,4
52,4
53,4
54,4
56,4
57,4
58,4
59,4
60,4
61,4
62,4
63,4
64,4
65,4
66,4
68,4
69,4
70,4
71,4
72,4
73,4
74,4
75,4
76,4
77,4
78,4
80,4
81,4
82,82
84,4021
85,16
86,1776
88,6884
89,6884
90,6884
91,6884
92,6884
93,6884
94,6884
95,6884
96,6884
97,6884
99,6884
100,6884
101,6884
102,6884
103,6884
104,6884
105,6884
106,6884
107,6884
108,6884
109,6884
110,6884
112,6884
113,6884
114,6884
115,6884
116,6884
117,6884
118,6884
119,6024
120,4736
121,27
122,4
124,4
125,4
126,4
127,4
128,4
129,4
130,4
131,4
132,4
133,4
134,4
135,4
137,4
138,4
139,4
140,4
141,4
142,4
143,4
144,4
145,4
146,4
147,4
149,4
150,4
151,4
152,4
153,4
155,436
156,1125
158,16
159,1373
160,3748
161,6884
162,6884
163,6884
165,6884
166,6884
167,6884
168,6884
169,6884
170,6884
171,6884
172,6884
173,6884
174,6884
175,6884
176,6884
178,6884
179,6884
180,6884
181,6884
182,6884
183,6884
184,6884
185,6884
186,6884
187,6884
188,6884
189,6884
191,6884
192,5594
193,4654
194,445
195,4
196,4
197,4
198,4
199,4
200,4
201,4
203,4
204,4
205,4
206,4
207,4
208,4
209,4
210,4
211,4
212,4
213,4
215,4
216,4
217,4
218,4
219,4
220,4
221,4
222,4
223,4
224,4
226,4
227,4
228,48
230,4963
231,4
233,2201
234,6884
235,6884
236,6884
237,6884
238,6884
239,6884
240,6884
241,6884
242,6884
244,6884
245,6884
246,6884
247,6884
248,6884
249,6884
250,6884
251,6884
252,6884
253,6884
254,6884
255,6884
257,6884
258,6884
259,6884
260,6884
261,6884
262,6884
263,6884
264,6884
265,6884
266,5166
267,1303
268,7
270,4
271,4
272,4
273,4
274,4
275,4
276,4
277,4
278,4
279,4
280,4
282,4
283,4
284,4
285,4
286,4
287,4
288,4
289,4
290,4
291,4
292,4
294,4
295,4
296,4
297,4
298,4
299,4
300,4
301,61
303,4870
304,16
306,112
307,3262
308,6884
310,6884
311,6884
312,6884
313,6884
314,6884
315,6884
316,6884
317,6884
318,6884
319,6884
320,6884
321,6884
323,6884
324,6884
325,6884
326,6884
327,6884
328,6884
329,6884
330,6884
331,6884
332,6884
333,6884
334,6884
336,6884
337,6884
338,6884
339,6884
340,6884
341,6890
342,6902
343,6916
344,6916
345,6916
346,6916
348,6916
349,6916
350,6916
351,13800
352,22892
353,28566
354,30444
355,32092
357,33434
358,34132
359,34596
360,35308
361,35874
362,36358
363,37156
365,37978
366,38392
367,38772
368,38964
369,38984
370,39100
371,39498
373,40402
374,41590
375,43104
376,43640
377,43648
378,43904
379,43956
380,44040
382,44274
383,44394
384,44446
385,44446
386,44454
387,44454
388,44454
390,44454
391,44454
392,44462
393,44478
394,44484
395,44534
397,44534
398,44534
399,44568
400,44568
401,44568
402,44696
403,44700
404,44702
406,44702
407,44702
408,44712
409,44872
410,44880
411,44880
412,44912
414,44980
415,45310
416,45314
417,45314
418,45314
419,45330
421,45330
422,45344
423,45344
424,45344
425,45350
426,45350
427,45462
428,45462
430,45462
431,45462
432,45462
433,45462
434,45462
435,45462
436,45462
438,45472
439,45472
440,45472
441,45472
442,45476
443,45476
445,45508
446,45512
447,45512
448,45512
449,45512
450,45512
451,45512
452,45512
454,45512
455,45512
456,45512
457,45758
458,45790
459,45902
460,45902
462,45942
463,45942
464,45942
465,45942
466,45942
467,45942
468,46102
470,46294
471,46294
472,46294
473,46294
474,46294
475,46358
477,46358
478,46358
479,46358
480,46422
481,46422
482,46422
483,46422
484,46422
486,46426
487,46440
488,46456
489,46464
490,46464
491,46464
492,46806
494,46806
495,46806
496,46806
497,46806
498,46806
499,46808
501,46808
502,46808
503,46808
504,46808
505,46808
506,46808
507,46808
509,46808
510,46808
511,46808
512,46848
513,46912
514,46912
515,46976
516,46982
518,46998
519,46998
520,46998
521,46998
522,46998
523,46998
525,46998
526,46998
527,46998
528,46998
529,46998
530,46998
531,46998
533,46998
534,46998
535,46998
536,46998
537,46998
538,47054
539,47054
540,47054
542,47070
543,47070
544,47070
545,47102
546,47106
547,47154
548,47154
550,47154
551,47154
552,47218
553,47540
554,47540
555,47542
557,47800
558,47864
559,47864
560,48122
561,48154
562,48154
563,48162
564,48178
566,48258
567,48290
568,48338
569,48354
570,48358
571,48358
572,48422
574,48438
575,48438
576,48438
577,48438
578,48438
579,48438
581,48438
582,48438
583,48438
584,48438
585,48438
586,48438
587,48502
588,48502
589,48502
591,48502
592,48502
593,48502
594,48502
595,48502
596,48502
597,48502
599,48502
600,48502
601,48502
602,48502
603,48502
604,48502
605,48502
607,45626
608,39847
609,24244
610,12633
611,9302
612,2857
613,2854
614,7
615,4
616,4
617,4
619,4
620,4
621,4
622,4
623,4
624,4
625,4
626,4
627,4
628,4
629,4
631,4
632,4
633,4
634,4
635,4
636,4
637,4
638,4
639,4
640,4
641,4
643,4
644,4
645,4
646,4
647,4
649,132
650,5637
651,4
653,13
655,5816
656,6884
657,6884
658,6884
659,6884
660,6884
661,6884
662,6884
663,6884
664,6884
665,6884
667,6884
668,6884
669,6884
670,6884
671,6884
672,6884
673,6884
674,6884
675,6884
676,6884
677,6884
678,6884
680,6884
681,6884
682,6884
683,6884
684,6884
685,6884
686,6884
687,6884
688,6884
689,6884
690,6894
691,6914
693,6916
694,6916
695,6916
696,6916
697,6916
698,6916
699,6916
700,18336
701,26224
703,29858
704,31692
705,32514
706,34256
707,35136
708,35916
709,36600
711,37336
712,37586
713,38042
714,38542
715,38584
716,39372
718,39406
719,39414
720,39758
721,40842
722,41884
723,43208
724,44120
726,44252
727,44388
728,44388
729,44496
730,44918
731,44990
732,45096
733,45112
735,45136
736,45136
737,45160
738,45160
739,45164
740,45164
742,45168
743,45176
744,45304
745,45338
746,45346
747,45346
748,45442
750,45442
751,45442
752,45442
753,45444
754,45444
755,45444
756,45444
757,45444
759,45476
760,45612
761,45612
762,45612
763,45612
764,45612
766,45684
767,45684
768,45684
769,45684
770,45684
771,45684
772,45684
774,45684
775,45684
776,45684
777,45684
778,45684
779,45684
780,45748
781,45748
783,45750
784,45750
785,45750
786,45750
787,45750
788,45782
790,45790
791,45798
792,45814
793,45814
794,45814
795,45878
797,45878
798,45878
799,45878
800,45878
801,45942
802,45942
803,45942
804,46070
805,46182
807,46214
808,46390
809,46422
810,46454
811,46454
812,46454
813,46454
815,46454
816,46518
817,46550
818,46618
819,46682
820,46690
821,46754
823,46758
824,46822
825,46854
826,46870
827,46902
828,46902
829,46902
831,46966
832,46966
833,46966
834,46970
835,46978
836,46978
837,46978
839,46982
840,46982
841,46982
842,46982
843,47070
844,47134
846,47150
847,47154
848,47154
849,47154
850,47154
851,47154
853,47154
854,47154
855,47154
856,47154
857,47154
858,47154
859,47154
860,47154
861,47154
863,47154
864,47154
865,47154
866,47154
867,47154
868,47154
869,47186
871,47186
872,47186
873,47186
874,47186
875,47186
876,47186
878,47186
879,47186
880,47186
881,47186
882,47186
883,47186
884,47186
885,47218
887,47238
888,47258
889,47258
890,47258
891,47258
892,47258
893,47258
895,47258
896,47258
897,47258
898,47258
899,47258
900,47258
902,47258
903,47258
904,47258
905,47258
906,47258
907,47258
908,47258
909,47322
911,47338
912,47450
913,47570
914,47602
915,47602
916,47610
917,47610
919,47610
920,47674
921,47754
922,47754
923,47754
924,47754
925,47754
927,47754
928,47754
929,47754
930,47754
931,47754
932,47754
933,47754
934,47754
936,47754
937,47754
938,47754
939,47754
940,47754
941,47754
942,47762
944,47762
945,47762
946,47810
947,47810
948,47810
949,47810
951,47818
952,47826
953,47826
954,47826
955,41967
956,35331
957,26593
958,11684
959,8897
961,5915
962,3393
963,7
964,4
965,4
966,4
967,4
968,4
969,4
970,4
971,4
973,4
974,4
975,4
976,4
977,4
978,4
979,4
980,4
981,4
982,4
983,4
985,4
986,4
987,4
988,4
989,4
990,4
991,4
992,4
993,4
994,4
996,45
998,4556
999,13
1000,13
1002,2782
1003,6884
1004,6884
1005,6884
1006,6884
1007,6884
1009,6884
1010,6884
1011,6884
1012,6884
1013,6884
1014,6884
1015,6884
1016,6884
1017,6884
1018,6884
1019,6884
1020,6884
1022,6884
1023,6884
1024,6884
1025,6884
1026,6884
1027,6884
1028,6884
1029,6884
1030,6884
1031,6884
1032,6884
1033,6884
1035,6884
1036,6884
1037,6884
1038,6896
1039,6912
1040,6916
1041,6916
1042,6916
1043,6916
1044,6916
1046,6916
1047,6916
1048,17546
1049,26930
1050,31340
1051,32874
1052,33634
1053,35082
1055,35870
1056,36520
1057,37168
1058,37742
1059,38202
1060,38686
1061,39260
1063,40092
1064,40342
1065,40524
1066,40540
1067,40540
1069,41312
1070,42428
1071,43500
1072,44556
1073,44812
1074,44812
1075,44812
1076,44868
1078,44940
1079,44994
1080,45076
1081,45092
1082,45096
1083,45112
1085,45128
1086,45128
1087,45132
1088,45132
1089,45132
1090,45132
1092,45236
1093,45238
1094,45238
1095,45366
1096,45374
1097,45374
1098,45374
1099,45374
1101,45374
1102,45374
1103,45374
1104,45374
1105,45374
1106,45374
1107,45406
1109,45474
1110,45474
1111,45602
1112,45602
1113,45602
1114,45602
1116,45606
1117,45606
1118,45610
1119,45618
1120,45618
1121,45618
1122,45618
1124,45622
1125,45622
1126,45624
1127,45624
1128,45624
1129,45624
1130,45630
1131,45630
1133,45630
1134,45630
1135,45630
1136,45630
1137,45630
1138,45646
1140,45710
1141,45710
1142,45712
1143,45712
1144,45712
1145,45712
1147,45712
1148,45712
1149,45712
1150,45712
1151,45840
1152,45840
1153,46120
1154,46388
1156,46436
1157,46500
1158,46564
1159,46564
1160,46564
1161,46564
1163,46596
1164,46668
1165,46732
1166,46876
1167,46940
1168,47326
1169,47326
1171,47390
1172,47390
