elapsed_seconds,memory_mib
0,4
1,4
2,4
3,4
4,4
5,4
7,39
9,1019
11,7
12,2265
13,4524
14,6878
15,6878
17,6878
18,6878
19,6878
20,6878
21,6878
22,6878
23,6878
24,6878
25,6878
26,6878
27,6878
28,6878
30,6878
31,6878
32,6878
33,6878
34,6878
35,6878
36,6878
37,6878
38,6878
39,6878
40,6878
41,6878
43,6878
44,6878
45,6296
46,3872
47,438
48,4
49,4
50,4
51,4
52,4
54,4
55,4
56,4
57,4
58,4
59,4
60,4
61,4
62,4
63,4
64,4
66,4
67,4
68,4
69,4
70,4
71,4
72,4
73,4
74,4
75,4
76,4
78,4
79,4
80,4
81,561
83,5523
84,452
86,2735
87,6878
88,6878
89,6878
90,6878
92,6878
93,6878
94,6878
95,6878
96,6878
97,6878
98,6878
99,6878
100,6878
101,6878
102,6878
103,6878
105,6878
106,6878
107,6878
108,6878
109,6878
110,6878
111,6878
112,6878
113,6878
114,6878
115,6878
117,6878
118,5590
119,4302
120,1222
121,4
122,4
123,4
124,4
125,4
126,4
127,4
129,4
130,4
131,4
132,4
133,4
134,4
135,4
136,4
137,4
138,4
139,4
141,4
142,4
143,4
144,4
145,4
146,4
147,4
148,4
149,4
150,4
151,4
153,23
155,1187
156,7
158,2212
159,4844
160,6878
161,6878
162,6878
164,6878
165,6878
166,6878
167,6878
168,6878
169,6878
170,6878
171,6878
172,6878
173,6878
174,6878
175,6878
177,6878
178,6878
179,6878
180,6878
181,6878
182,6878
183,6878
184,6878
185,6878
186,6878
187,6878
188,6878
190,6878
191,5938
192,2514
193,7
194,4
195,4
196,4
197,4
198,4
199,4
201,4
202,4
203,4
204,4
205,4
206,4
207,4
208,4
209,4
210,4
211,4
213,4
214,4
215,4
216,4
217,4
218,4
219,4
220,4
221,4
222,4
223,4
225,4
226,507
228,5531
229,436
231,2718
232,6878
233,6878
234,6878
235,6878
236,6878
237,6878
238,6878
239,6878
240,6878
242,6878
243,6878
244,6878
245,6878
246,6878
247,6878
248,6878
249,6878
250,6878
251,6878
252,6878
254,6878
255,6878
256,6878
257,6878
258,6878
259,6878
260,6878
261,6878
262,6878
263,4302
264,3369
266,7
267,4
268,4
269,4
270,4
271,4
272,4
273,4
274,4
275,4
276,4
278,4
279,4
280,4
281,4
282,4
283,4
284,4
285,4
286,4
287,4
288,4
290,4
291,4
292,4
293,4
294,4
295,4
296,4
297,4
298,23
301,1852
302,13
304,2628
305,5660
306,6878
307,6878
308,6878
309,6878
310,6878
311,6878
313,6878
314,6878
315,6878
316,6878
317,6878
318,6878
319,6878
320,6878
321,6878
322,6878
323,6878
325,6878
326,6878
327,6878
328,6878
329,6878
330,6878
331,6878
332,6878
333,6878
334,6878
335,6878
337,6878
338,6878
339,6894
340,6904
341,6910
342,6910
343,6910
344,6910
345,6910
346,6910
348,12538
349,19676
350,23336
351,25502
352,27206
353,27546
355,27824
356,28664
357,28844
358,28942
359,29034
361,29404
362,29492
363,29572
364,29578
366,29936
367,30000
368,30000
369,30000
370,30032
372,30376
373,30798
374,30806
375,31112
376,31132
378,31734
379,31822
380,31982
381,32054
382,32130
383,32532
384,32532
386,32532
387,32532
388,32532
389,32580
390,32604
392,32604
393,32660
394,32668
395,32700
396,32738
398,32738
399,32770
400,32786
401,32786
402,32826
404,33266
405,33266
406,33298
407,33596
409,33596
410,34126
411,34134
412,34392
413,34424
415,34428
416,34466
417,34466
418,34538
419,34538
420,34538
421,34538
422,34604
424,34606
425,34632
426,34636
427,34638
428,34638
430,34638
431,34898
432,34898
433,34940
435,34940
436,34948
437,34980
438,34980
439,34986
441,34988
442,35020
443,35020
444,35020
445,35020
447,35020
448,35020
449,35028
450,35082
451,35114
453,35114
454,35122
455,35122
456,35194
457,35194
458,35194
459,35194
460,35194
462,35198
463,35198
464,35214
465,35216
466,35216
468,35232
469,35242
470,35282
471,35290
472,35328
474,35368
475,35386
476,35388
477,35388
478,35424
480,35472
481,35472
482,35488
483,35488
484,35488
486,35504
487,35528
488,35528
489,35544
490,35544
491,35544
492,35544
494,35548
495,35984
496,35984
497,35984
498,35984
499,35984
500,35984
502,35992
503,36028
504,36028
505,36028
506,36028
508,36036
509,36040
510,36056
511,36060
512,36060
514,36060
515,36064
516,36128
517,36160
519,36160
520,36176
521,36176
522,36208
523,36224
525,36256
526,36260
527,36260
528,36308
529,36308
530,36308
531,36316
532,36316
534,36316
535,36316
536,36316
537,36316
538,36316
539,36316
541,36316
542,36316
543,36316
544,36316
545,36316
547,36316
548,36316
549,36316
550,36316
551,36316
553,36320
554,36320
555,36320
556,36320
558,36320
559,36320
560,36336
561,36368
562,36408
564,36408
565,36424
566,36432
567,36436
568,36452
569,36452
570,36452
572,36508
573,36508
574,36508
575,36508
576,36508
577,36508
578,36508
580,36508
581,36508
582,36508
583,36508
584,36508
585,36508
587,36508
588,36508
589,36508
590,36508
592,36508
593,36508
594,36508
595,36508
596,36508
598,36508
599,36508
600,36508
601,36508
602,36508
603,36508
604,36508
606,36508
607,36508
608,36540
609,36540
610,36540
611,36572
612,36572
613,36572
615,36572
616,36572
617,36572
618,36572
619,36572
620,36572
622,36572
623,36588
624,36588
625,36628
627,36628
628,36628
629,36628
630,36628
632,36628
633,36644
634,36644
635,36644
637,36644
638,36644
639,36644
640,36644
641,36644
642,36644
643,36644
644,36644
646,36644
647,36644
648,36644
649,36644
650,36644
651,36644
652,36692
654,36692
655,36692
656,36696
657,36696
658,36704
659,36704
661,36704
662,36704
663,36704
664,36704
665,36704
667,36704
668,36704
669,36704
670,36704
671,36704
673,36704
674,36704
675,36704
676,36704
677,36704
678,36704
679,36704
681,36704
682,36704
683,36704
684,36704
685,36704
686,36708
687,36708
688,36708
690,36712
691,36712
692,36712
693,36712
694,36712
696,36712
697,36712
698,36712
699,36712
700,36712
701,36712
703,36712
704,36712
705,36716
706,36716
707,36724
708,34468
709,32187
711,28601
712,27676
713,23565
714,20900
715,20900
716,20900
717,16773
718,11805
719,7246
721,4971
722,4971
723,2318
724,7
725,4
726,4
727,4
728,4
729,4
730,4
731,4
733,4
734,4
735,4
736,4
737,4
738,4
739,4
740,4
741,4
742,4
743,4
745,4
746,4
747,4
748,4
749,4
750,4
751,4
752,4
753,4
754,4
755,4
757,4
758,90
760,3938
761,7
763,4
765,3170
766,6878
767,6878
768,6878
769,6878
770,6878
771,6878
772,6878
773,6878
774,6878
775,6878
777,6878
778,6878
779,6878
780,6878
781,6878
782,6878
783,6878
784,6878
785,6878
786,6878
787,6878
788,6878
790,6878
791,6878
792,6878
793,6878
794,6878
795,6878
796,6878
797,6878
798,6878
799,6878
800,6906
802,6910
803,6910
804,6910
805,6910
806,6910
807,6910
808,6910
809,10996
810,19350
812,22752
813,25742
814,27190
815,27986
816,28282
818,28590
819,28796
820,28980
821,29104
822,29552
824,29584
825,29870
826,30582
827,30606
828,30946
830,31372
831,31436
832,31436
833,31452
835,31454
836,31486
837,31570
838,31602
839,31754
841,31966
842,32038
843,32074
844,32182
845,32238
846,32246
847,32254
849,32258
850,32258
851,32274
852,32548
853,32882
854,32882
856,32918
857,32958
858,33218
859,33330
860,33332
862,33368
863,33372
864,33402
865,33418
867,33418
868,33418
869,33418
870,33424
871,33464
873,33468
874,33476
875,33504
876,33506
877,33764
879,33766
880,33770
881,33770
882,33770
883,33774
884,33774
885,33774
886,33774
888,33840
889,33840
890,33844
891,33844
892,34104
894,34460
895,34462
896,34842
897,34916
898,34916
900,34920
901,34968
902,34968
903,34968
905,34984
906,35032
907,35032
908,35066
909,35066
911,35066
912,35106
913,35178
914,35178
915,35178
916,35178
917,35214
918,35216
920,35216
921,35216
922,35216
923,35218
924,35218
925,35218
927,35218
928,35220
929,35220
930,35220
931,35220
933,35228
934,35236
935,35256
936,35256
938,35256
939,35256
940,35256
941,35256
942,35256
944,35256
945,35256
946,35264
947,35272
948,35288
950,35288
951,35320
952,35320
953,35376
954,35376
955,35384
956,35408
957,35408
959,35408
960,35410
961,35410
962,35410
963,35410
964,35410
966,35434
967,35434
968,35434
969,35478
970,35478
972,35478
973,35478
974,35486
975,35486
976,35518
978,35566
979,35598
980,35630
981,35630
983,35630
984,35630
985,35646
986,35694
987,35694
989,35694
990,35694
991,35694
992,35726
993,35726
994,35726
995,35726
996,35726
998,35726
999,35726
1000,35742
1001,35744
1002,35744
1003,35744
1005,35744
1006,35744
1007,35744
1008,35744
1009,35876
1011,35876
1012,35908
1013,35908
1014,35908
1016,35908
1017,35912
1018,35912
1019,35920
1020,35920
1022,35968
1023,35976
1024,35976
1025,35992
1026,36000
1028,36000
1029,36000
1030,36008
1031,36008
1032,36008
1033,36012
1034,36012
1035,36012
1037,36012
1038,36012
1039,36012
1040,36012
1041,36012
1042,36012
1044,36012
1045,36018
1046,36018
1047,36018
1048,36018
1049,36018
1051,36018
1052,36018
1053,36018
1054,36034
1056,36034
1057,36034
1058,36046
1059,36046
1061,36046
1062,36046
1063,36046
1064,36126
1065,36126
1066,36126
1067,36518
1069,36518
1070,36518
1071,36518
1072,36518
1073,36518
1074,36518
1075,36522
1077,36522
1078,36522
1079,36522
1080,36522
1081,36522
1082,36522
1084,36522
1085,36522
1086,36522
1087,36522
1089,36524
1090,36524
1091,36524
1092,36524
1093,36524
1095,36532
1096,36532
1097,36532
1098,36532
1099,36532
1101,36532
1102,36532
1103,36532
1104,36532
1105,36532
1106,36556
1107,36556
1108,36556
1110,36572
1111,36572
1112,36572
1113,36572
1114,36604
1115,36604
1117,36604
1118,36604
1119,36604
1120,36604
1121,36604
1122,36604
1124,36604
1125,36604
1126,36608
1127,36608
1129,36608
1130,36608
1131,36608
1132,36608
1133,36608
1135,36608
1136,36608
1137,36608
1138,36608
1139,36608
1140,36608
1141,36608
1142,36608
1144,36608
1145,36608
1146,36624
1147,36624
1148,36624
1149,36624
1150,36624
1152,36624
1153,36624
1154,36624
1155,36624
1156,36624
1158,36624
1159,36624
1160,36624
1161,36624
1162,36624
1163,36634
1165,36634
1166,36634
1167,36634
1168,36638
1169,36638
1170,36670
1172,34412
1173,28062
1174,27558
1175,25379
1176,20840
1177,20840
1178,18587
1179,13706
1180,7228
1181,4973
1183,4973
1184,2302
1185,2302
1186,7
1187,4
1188,4
