elapsed_seconds,memory_mib
0,4
1,4
2,4
3,16
4,4
6,4
7,4
8,4
9,4
11,480
13,16
14,4
15,13
17,5290
18,6024
19,6884
20,6884
21,6884
22,6884
23,6884
24,6884
25,6884
26,6884
27,6884
28,6884
30,6884
31,6884
32,6884
33,6884
34,6884
35,6884
36,6884
37,6884
38,6884
39,6884
40,6884
41,6884
43,6884
44,6884
45,6884
46,6884
47,6884
48,6884
49,6884
50,6884
51,5447
52,16
53,4
55,4
56,4
57,4
58,4
59,4
60,4
61,4
62,4
63,4
64,4
65,4
67,4
68,4
69,4
70,4
71,4
72,4
73,4
74,4
75,4
76,4
78,4
79,4
80,4
81,4
82,4
83,4
84,4
86,30
87,1783
89,15
90,1798
91,6884
92,6884
94,6884
95,6884
96,6884
97,6884
98,6884
99,6884
100,6884
101,6884
102,6884
103,6884
104,6884
105,6884
107,6884
108,6884
109,6884
110,6884
111,6884
112,6884
113,6884
114,6884
115,6884
116,6884
117,6884
118,6884
120,6884
121,6884
122,6884
123,5595
124,3449
125,7
126,4
127,4
128,4
129,4
130,4
132,4
133,4
134,4
135,4
136,4
137,4
138,4
139,4
140,4
141,4
142,4
144,4
145,4
146,4
147,4
148,4
149,4
150,4
151,4
152,4
154,4
155,4
156,4
157,4
158,4
160,10
161,6252
162,16
164,4
165,10
167,3872
168,6884
169,6884
170,6884
171,6884
172,6884
173,6884
174,6884
175,6884
176,6884
177,6884
178,6884
180,6884
181,6884
182,6884
183,6884
184,6884
185,6884
186,6884
187,6884
188,6884
189,6884
190,6884
191,6884
193,6884
194,6884
195,6884
196,6884
197,6884
198,6884
199,6884
200,6884
202,5108
203,7
204,4
205,4
206,4
207,4
208,4
209,4
210,4
211,4
213,4
214,4
215,4
216,4
217,4
218,4
219,4
220,4
221,4
222,4
223,4
225,4
226,4
227,4
228,4
229,4
230,4
231,4
232,4
233,4
234,4
236,29
238,3480
239,13
240,111
242,3188
243,6884
244,6884
245,6884
246,6884
247,6884
248,6884
250,6884
251,6884
252,6884
253,6884
254,6884
255,6884
256,6884
257,6884
258,6884
259,6884
260,6884
261,6884
263,6884
264,6884
265,6884
266,6884
267,6884
268,6884
269,6884
270,6884
271,6884
272,6884
273,6884
275,5939
276,442
277,7
278,4
279,4
280,4
281,4
282,4
283,4
284,4
285,4
287,4
288,4
289,4
290,4
291,4
292,4
293,4
294,4
295,4
296,4
297,4
299,4
300,4
301,4
302,4
303,4
304,4
305,4
306,4
307,4
308,4
309,4
311,129
313,4236
314,4
315,1756
316,6884
317,6884
319,6884
320,6884
321,6884
322,6884
323,6884
324,6884
325,6884
326,6884
327,6884
328,6884
329,6884
330,6884
332,6884
333,6884
334,6884
335,6884
336,6884
337,6884
338,6884
339,6884
340,6884
341,6884
342,6884
343,6884
345,6884
346,6884
347,6884
348,6884
349,6884
350,6886
351,6914
352,6916
353,6916
354,6916
355,6916
357,6916
358,6916
359,6916
360,8452
361,18408
362,22692
363,25868
365,26930
366,27966
367,28116
368,28368
369,28472
371,28646
372,28804
373,28828
374,29002
375,29046
377,29094
378,29142
379,29166
380,29214
381,29580
383,29646
384,30024
385,30414
386,30420
388,30420
389,30882
391,31132
392,31356
394,31424
396,31766
397,31766
398,31766
399,31766
400,31766
401,31770
402,32154
404,32178
405,32178
406,32198
407,32198
408,32512
410,32560
411,32560
412,32890
413,33150
415,33238
416,33300
417,33300
418,33332
419,33332
421,33332
422,33332
423,33596
424,33596
425,33598
427,33630
428,33632
429,33632
430,33636
431,33652
432,33652
433,33654
434,33654
436,33656
437,33740
438,33740
439,33742
440,33742
441,33742
443,33758
444,34050
445,34082
446,34082
448,34118
449,34118
450,34118
451,34126
452,34158
454,34158
455,34420
456,34452
457,34484
458,34484
460,34548
461,34580
462,34612
463,34788
464,34828
466,34844
467,34844
468,34844
469,34844
470,34844
471,34844
472,34844
474,34844
475,34844
476,34844
477,34844
478,34844
479,34844
481,34848
482,34866
483,34868
484,34888
485,34888
487,34888
488,34924
489,34924
490,35022
491,35022
493,35022
494,35056
495,35056
496,35332
498,35332
499,35332
500,35340
501,35380
502,35396
503,35404
505,35452
506,35452
507,35452
508,35452
509,35452
510,35452
511,35452
512,35452
514,35452
515,35452
516,35452
517,35452
518,35452
519,35488
521,35504
522,35528
523,35544
524,35544
526,35552
527,35552
528,35552
529,35572
530,35608
532,35608
533,35640
534,35640
535,35656
536,35724
538,35724
539,35724
540,35724
541,35756
542,35756
543,35780
545,35780
546,35780
547,35780
548,35780
549,35780
550,35780
551,35780
553,35780
554,35788
555,35788
556,35788
557,35788
558,35788
560,35788
561,35788
562,35788
563,35788
565,35804
566,35804
567,35804
568,35806
569,35854
571,35854
572,35862
573,35862
574,35862
576,35866
577,35918
578,35918
579,35974
580,35974
582,36014
583,36014
584,36014
585,36014
586,36014
587,36038
588,36038
589,36042
591,36042
592,36042
593,36042
594,36042
595,36042
596,36042
598,36042
599,36042
600,36042
601,36042
602,36042
604,36042
605,36046
606,36046
607,36046
608,36046
610,36046
611,36046
612,36046
613,36046
614,36046
616,36046
617,36078
618,36078
619,36078
620,36078
621,36078
623,36078
624,36094
625,36094
626,36094
627,36094
628,36094
630,36110
631,36126
632,36162
633,36162
634,36162
636,36162
637,36162
638,36162
640,36162
641,36162
643,36194
644,36194
645,36194
646,36202
648,36202
649,36202
650,36202
651,36202
652,36202
654,36202
655,36202
656,36202
657,36202
658,36202
659,36202
660,36202
662,36202
663,36202
664,36218
665,36234
666,36234
667,36234
669,36234
670,36234
671,36234
672,36234
673,36234
675,36234
676,36234
677,36234
678,36234
679,36234
680,36234
682,36270
683,36350
684,36350
685,36350
687,36350
688,36350
689,36350
690,36350
691,36350
693,36350
694,36350
695,36350
696,36446
697,36446
698,36446
699,36446
700,36446
702,36446
703,36446
704,36446
705,36446
707,36450
708,36466
709,36466
710,36466
711,36466
712,36466
714,36466
715,36466
716,36474
717,36494
718,36494
720,36494
721,36494
722,36494
723,36494
724,36494
726,36494
727,36494
728,36526
729,32456
730,27924
731,14319
732,9190
733,7000
734,4692
736,4692
737,4692
738,4692
739,4692
740,10
741,10
742,4
743,4
744,4
745,4
746,4
748,4
749,4
750,4
751,4
752,4
753,4
754,4
755,4
756,4
757,4
758,4
760,4
761,4
762,4
763,4
764,4
765,4
766,4
767,4
768,4
769,4
770,4
771,4
773,4
774,4
775,4
777,300
779,16
780,4
781,10
783,3406
784,6884
785,6884
786,6884
787,6884
788,6884
789,6884
791,6884
792,6884
793,6884
794,6884
795,6884
796,6884
797,6884
798,6884
799,6884
800,6884
801,6884
802,6884
804,6884
805,6884
806,6884
807,6884
808,6884
809,6884
810,6884
811,6884
812,6884
813,6884
814,6884
816,6884
817,6884
818,6884
819,6892
820,6916
821,6916
822,6916
823,6916
824,6916
825,6916
827,6916
828,6916
829,13936
830,20114
831,23552
832,26228
833,26674
835,26834
836,26952
837,27166
838,27358
839,27604
841,27694
842,27788
843,28194
844,28294
845,28366
847,28398
848,28462
849,28838
850,28874
851,28890
853,28910
854,28976
855,29326
856,29412
857,29516
859,29556
860,29708
861,29912
862,30610
863,30634
865,30710
866,30710
867,30710
868,30710
869,30722
870,31072
871,31084
873,31120
874,31172
875,31204
876,31814
877,32152
879,32168
880,32208
881,32228
882,32260
883,32516
885,32590
886,32634
887,32634
888,32650
890,32926
891,32958
892,32958
893,32994
894,33146
896,33146
897,33444
898,33448
899,33448
900,33448
901,33448
902,33448
903,33448
905,33706
906,33706
907,33968
908,33968
909,33968
911,33968
912,33968
913,33968
914,33986
915,34054
917,34118
918,34154
919,34174
920,34206
921,34206
923,34206
924,34210
925,34226
926,34226
927,34226
929,34226
930,34258
931,34276
932,34324
933,34364
935,34366
936,34366
937,34366
938,34366
939,34366
940,34366
941,34366
942,34366
944,34366
945,34366
946,34366
947,34398
948,34414
950,34414
951,34414
952,34498
953,34766
954,34768
956,34772
957,34836
958,34838
959,34838
960,34838
962,34838
963,34886
964,34886
965,34886
966,34930
968,34938
969,34938
970,34988
971,35020
972,35028
973,35036
975,35294
976,35294
977,35294
978,35302
979,35302
980,35302
981,35302
983,35302
984,35318
985,35318
986,35318
987,35318
989,35318
990,35390
991,35398
992,35398
993,35398
995,35462
996,35462
997,35494
998,35502
999,35502
1001,35502
1002,35502
1003,35502
1004,35502
1006,35502
1007,35502
1008,35502
1009,35502
1010,35800
1011,35800
1013,35800
1014,35800
1015,35800
1016,35808
1017,35808
1018,35816
1019,35824
1020,35824
1022,35824
1023,35824
1024,35860
1025,35860
1027,35860
1028,35860
1029,35892
1030,35892
1031,35892
1032,35896
1034,35896
1035,35904
1036,35904
1037,35908
1039,35908
1040,35912
1041,35912
1042,35912
1043,35912
1045,35912
1046,35912
1047,35912
1048,35912
1049,35920
1050,35920
1052,35964
1053,35964
1054,35964
1055,35968
1056,35968
1057,35968
1058,35968
1059,35968
1061,35968
1062,35968
1063,35976
1064,35976
1065,35976
1067,35976
1068,35976
1069,35976
1070,35976
1071,35976
1073,35976
1074,35976
1075,35976
1076,35976
1077,36010
1079,36026
1080,36026
1081,36026
1082,36026
1083,36026
1085,36026
1086,36026
1087,36026
1088,36026
1089,36026
1090,36026
1091,36026
1092,36026
1094,36058
1095,36110
1096,36142
1097,36142
1098,36142
1099,36142
1101,36142
1102,36142
1103,36142
1104,36142
1105,36142
1107,36142
1108,36142
1109,36142
1110,36176
1111,36180
1112,36188
1114,36188
1115,36188
1116,36188
1117,36188
1119,36192
1120,36208
1121,36208
1122,36208
1123,36244
1124,36244
1126,36252
1127,36268
1128,36268
1129,36300
1130,36300
1132,36300
1133,36300
1134,36300
1135,36300
1136,36300
1137,36300
1139,36300
1140,36300
1141,36300
1142,36300
1143,36300
1145,36316
1146,36316
1147,36316
1148,36316
1149,36316
1150,36316
1152,36316
1153,36316
1154,36348
1155,36348
1156,36348
1158,36364
1159,36364
1160,36364
1161,36364
1162,36364
1163,36364
1164,36364
1166,36364
1167,36364
1168,36396
1169,36396
1170,36396
1171,36396
1172,36396
1174,36396
1175,36400
1176,36404
1177,36404
1178,36420
1180,36420
1181,36420
1182,36420
1183,36420
1184,36484
1186,36484
1187,36484
1188,36484
1189,36534
1190,36534
1191,36534
1193,36534
1194,36550
1195,36550
