elapsed_seconds,memory_mib
0,4
1,4
2,32
3,4
4,4
5,4
6,4
8,36
10,1317
11,16
12,4
14,188
15,4306
16,4735
17,6884
18,6884
20,6884
21,6884
22,6884
23,6884
24,6884
25,6884
26,6884
27,6884
28,6884
29,6884
30,6884
31,6884
33,6884
34,6884
35,6884
36,6884
37,6884
38,6884
39,6884
40,6884
41,6884
42,6884
43,6884
44,6884
46,6884
47,6884
48,6884
49,5165
50,1303
51,4
52,4
53,4
54,4
55,4
56,4
58,4
59,4
60,4
61,4
62,4
63,4
64,4
65,4
66,4
67,4
68,4
70,4
71,4
72,4
73,4
74,4
75,4
76,4
77,4
78,4
79,4
80,4
82,4
83,7
85,1601
87,16
88,115
90,4858
91,6884
92,6884
93,6884
94,6884
95,6884
96,6884
97,6884
98,6884
99,6884
100,6884
102,6884
103,6884
104,6884
105,6884
106,6884
107,6884
108,6884
109,6884
110,6884
111,6884
112,6884
113,6884
114,6884
116,6884
117,6884
118,6884
119,6884
120,6884
121,6884
122,5082
123,16
124,4
125,4
127,4
128,4
129,4
130,4
131,4
132,4
133,4
134,4
135,4
136,4
137,4
139,4
140,4
141,4
142,4
143,4
144,4
145,4
146,4
147,4
148,4
149,4
151,4
152,4
153,4
154,4
155,4
156,23
158,1443
160,15
161,1319
163,4998
164,6884
165,6884
166,6884
167,6884
168,6884
169,6884
170,6884
171,6884
172,6884
173,6884
174,6884
176,6884
177,6884
178,6884
179,6884
180,6884
181,6884
182,6884
183,6884
184,6884
185,6884
186,6884
187,6884
189,6884
190,6884
191,6884
192,6884
193,6884
194,5595
195,5165
196,362
197,4
198,4
200,4
201,4
202,4
203,4
204,4
205,4
206,4
207,4
208,4
209,4
210,4
212,4
213,4
214,4
215,4
216,4
217,4
218,4
219,4
220,4
221,4
222,4
224,4
225,4
226,4
227,4
228,4
229,44
231,4099
232,15
234,1729
235,3882
236,6884
237,6884
238,6884
239,6884
241,6884
242,6884
243,6884
244,6884
245,6884
246,6884
247,6884
248,6884
249,6884
250,6884
251,6884
252,6884
254,6884
255,6884
256,6884
257,6884
258,6884
259,6884
260,6884
261,6884
262,6884
263,6884
264,6884
265,6884
267,6803
268,5165
269,368
270,4
271,4
272,4
273,4
274,4
275,4
276,4
277,4
279,4
280,4
281,4
282,4
283,4
284,4
285,4
286,4
287,4
288,4
289,4
291,4
292,4
293,4
294,4
295,4
296,4
297,4
298,4
299,4
300,4
301,4
303,13
305,3446
306,16
307,945
309,4596
310,6884
311,6884
312,6884
313,6884
314,6884
315,6884
316,6884
317,6884
319,6884
320,6884
321,6884
322,6884
323,6884
324,6884
325,6884
326,6884
327,6884
328,6884
329,6884
330,6884
332,6884
333,6884
334,6884
335,6884
336,6884
337,6884
338,6884
339,6884
340,6884
341,6884
342,6894
344,6914
345,6916
346,6916
347,6916
348,6916
349,6916
350,6916
351,6916
352,15048
353,34076
355,39232
356,42626
357,43598
358,43738
359,43934
361,44022
362,44238
363,44474
364,44628
365,44726
367,44824
368,44854
369,44936
370,44952
372,44992
373,45164
374,45242
375,45306
376,45306
378,45306
379,45534
380,45574
381,45642
383,45774
384,45850
385,46830
386,48654
387,49974
388,50354
390,50518
391,50518
392,50518
393,50518
394,50518
395,50526
396,50526
398,50530
399,50530
400,50578
401,50582
403,50726
404,50758
405,50792
406,50824
408,50824
409,50832
410,50842
411,50842
413,50842
414,50842
415,50842
416,50900
418,51034
419,51052
420,51054
421,51054
422,51118
424,51154
425,51154
426,51162
427,51162
428,51162
429,51162
430,51162
431,51164
433,51164
434,51164
435,51164
436,51164
438,51244
439,51244
440,51244
441,51392
442,51396
444,51412
445,51412
446,51476
447,51476
449,51508
450,51508
451,51556
452,51556
453,51572
455,51572
456,51604
457,51708
458,51708
460,51716
461,51786
462,51794
463,51796
464,51796
465,51800
466,51800
467,51802
469,51804
470,51804
471,51804
472,51804
473,51884
475,51884
476,51900
477,52012
478,52020
479,52028
481,52078
482,52078
483,52080
484,52088
485,52088
487,52088
488,52088
489,52088
490,52088
491,52088
493,52088
494,52088
495,52088
496,52104
498,52106
499,52106
500,52114
501,52114
502,52130
503,52130
504,52130
505,52130
507,52142
508,52270
509,52274
510,52274
511,52274
513,52274
514,52274
515,52274
516,52278
517,52294
519,52294
520,52294
521,52310
522,52374
524,52442
525,52442
526,52510
527,52526
529,52590
530,52622
531,52622
532,52622
533,52622
535,52622
536,52622
537,52622
538,52622
539,52622
541,52622
542,52622
543,52622
544,52622
545,52654
546,52654
547,52686
549,52686
550,52702
551,52702
552,52702
553,52702
555,52702
556,52702
557,52718
558,52718
559,52718
561,52718
562,52718
563,52730
564,52734
566,52734
567,52734
568,52738
569,52738
570,52750
572,52758
573,52758
574,52758
575,52774
577,52782
578,52790
579,52798
580,52814
581,52814
582,52814
583,52846
585,52846
586,52846
587,52846
588,52846
589,52846
590,52846
592,52846
593,52846
594,52846
595,52846
596,52846
598,52846
599,52846
600,52846
601,52846
602,52846
604,52846
605,52846
606,52846
607,52846
609,52878
610,52934
611,52934
612,52934
614,52934
615,52934
616,52934
617,52934
618,52934
619,52934
620,52934
622,52934
623,52934
624,52934
625,52934
626,52950
627,53000
628,53000
630,53064
631,53064
632,53064
633,53064
635,53064
636,53064
637,53064
638,53064
639,53080
641,53338
642,53340
643,53340
644,53340
645,53340
647,53348
648,53348
649,53348
650,53348
652,53348
653,53412
654,53412
655,53412
656,53412
657,53412
658,53444
660,53444
661,53444
662,53444
663,53444
664,53444
665,53444
666,53444
668,53444
669,53460
670,53460
671,53460
672,53460
674,53476
675,53476
676,53476
677,53476
678,53492
680,53492
681,53492
682,53492
683,53492
684,53494
686,53526
687,53786
688,53786
689,53786
690,53786
692,53786
693,53786
694,53786
695,53786
696,53786
697,53786
698,53786
699,53786
701,53786
702,53786
703,53786
704,53786
705,53786
706,53786
708,53786
709,53786
710,53786
711,53790
712,53790
714,53790
715,53854
716,53854
717,53854
718,53854
720,53854
721,53854
722,53862
724,53862
725,53870
727,53934
728,53934
729,53934
730,43324
731,33606
732,30630
733,30191
735,26786
736,13406
737,9993
738,9145
739,3439
740,3439
741,3436
742,7
743,4
744,4
745,4
747,4
748,4
749,4
750,4
751,4
752,4
753,4
754,4
755,4
756,4
757,4
759,4
760,4
761,4
762,4
763,4
764,4
765,4
766,4
767,4
768,4
769,4
771,4
772,4
773,4
774,4
775,4
776,4
778,7
779,5122
781,16
782,4
783,4
785,288
786,6884
787,6884
788,6884
789,6884
790,6884
791,6884
793,6884
794,6884
795,6884
796,6884
797,6884
798,6884
799,6884
800,6884
801,6884
802,6884
803,6884
804,6884
806,6884
807,6884
808,6884
809,6884
810,6884
811,6884
812,6884
813,6884
814,6884
815,6884
816,6884
817,6884
819,6884
820,6884
821,6888
822,6914
823,6916
824,6916
825,6916
826,6916
827,6916
828,6916
830,6916
831,14898
832,30902
833,35338
834,39232
835,41190
836,42282
838,42306
839,42444
840,43068
841,43204
843,43316
844,43342
845,43358
846,43366
847,43418
849,43502
850,43590
851,43610
852,43610
853,43630
855,43654
856,43978
857,44062
858,44110
860,44110
861,44162
862,44610
863,45262
864,46468
866,47488
867,48320
868,48872
869,48876
870,49064
871,49064
872,49064
873,49104
875,49288
876,49296
877,49296
878,49296
880,49382
881,49544
882,49666
883,49706
884,49758
886,49758
887,49758
888,49758
889,49762
891,49762
892,49766
893,49766
894,49766
896,49798
897,49930
898,49930
899,49962
900,49962
902,49966
903,49998
904,49998
905,49998
906,49998
907,49998
908,50000
909,50032
911,50032
912,50032
913,50032
914,50032
915,50032
917,50066
918,50066
919,50066
920,50066
921,50070
923,50070
924,50072
925,50088
926,50088
928,50088
929,50088
930,50126
931,50126
932,50126
934,50134
935,50198
936,50518
937,50518
939,50526
940,50536
941,50538
942,50538
943,50546
944,50548
945,50550
947,50550
948,50550
949,50550
950,50550
951,50550
953,50550
954,50550
955,50582
956,50662
957,50694
959,50712
960,50730
961,50730
962,50746
963,50756
965,50756
966,50756
967,50756
968,50756
970,50756
971,50756
972,50756
973,50764
974,50772
976,50772
977,50788
978,50788
979,50820
980,50820
981,50820
983,50828
984,50828
985,50836
986,50894
987,50910
988,50910
989,50942
991,50946
992,50946
993,50946
994,50946
996,50946
997,50950
998,50952
999,50952
1000,50952
1002,51020
1003,51020
1004,51020
1005,51406
1007,51406
1008,51406
1009,51470
1010,51486
1011,51560
1013,51624
1014,51624
1015,51640
1016,51640
1018,51640
1019,51640
1020,51640
1021,51640
1022,51640
1023,51640
1024,51640
1025,51640
1027,51640
1028,51640
1029,51640
1030,51642
1031,51706
1033,51706
1034,51722
1035,51722
1036,51722
1038,51786
1039,51818
1040,51818
1041,51818
1042,51818
1044,51818
1045,51818
1046,51826
1047,51850
1048,51850
1050,51850
1051,51914
1052,51914
1053,51922
1055,51922
1056,51922
1057,51930
1058,51930
1059,51938
1060,51938
1062,51938
1063,51938
1064,51978
1065,51978
1066,51978
1067,51978
1068,51978
1069,51978
1071,51978
1072,51978
1073,51978
1074,51978
1075,51978
1077,51978
1078,51978
1079,51978
1080,51978
1082,51978
1083,51978
1084,51986
1085,51986
1087,51986
1088,51994
1089,51994
1090,51994
1091,51994
1093,52000
1094,52000
1095,52000
1096,52000
1097,52000
1098,52000
1099,52032
1101,52032
1102,52032
1103,52032
1104,52048
1105,52240
1106,52256
1107,52256
1109,52256
1110,52256
1111,52256
1112,52256
1114,52256
1115,52256
1116,52256
1117,52260
1119,52260
1120,52260
1121,52260
1122,52260
1123,52260
1125,52276
1126,52276
1127,52276
1128,52276
1130,52276
1131,52276
1132,52276
1133,52276
1134,52276
1136,52294
1137,52294
1138,52294
1139,52294
1140,52294
1141,52326
1142,52390
1143,52390
1145,52422
1146,52454
1147,52454
1148,52454
1149,52470
1150,52486
1152,52486
1153,52486
1154,52490
1155,52490
1156,52490
1158,52490
1159,52490
1160,52490
1161,52494
1163,52494
1164,52814
1165,52814
1166,52814
1167,52814
1169,52814
1170,52814
1171,52814
1172,52814
1173,52814
1175,52814
1176,52814
1177,52814
1178,52814
1179,52814
1180,52814
1181,52814
1182,52814
1184,52814
1185,53086
1186,53086
1187,53086
1188,53086
1189,53086
1191,53086
1192,53090
1193,53090
1194,53090
1196,53090
1197,53090
